chainId,dexId,baseToken,pairAddress,liquidity,ccxt_ticker
moonriver,solarbeam,ETH,0x0d171b55fC8d3BDDF17E376FdB2d90485f900888,"{""usd"":584613,""base"":234.1,""quote"":46925}",ETH
bsc,bakeryswap,WBNB,0x559e3D9611E9cB8a77c11335Bdac49621382188B,"{""usd"":127056.18126622087,""base"":248.16,""quote"":63528}",BNB
fantom,wigoswap,WFTM,0x280F2F0cC01B2fd1b10d830b5deAf2343a78D3D5,"{""usd"":91939.74030737035,""base"":212304,""quote"":45970}",FTM
polygon,0x54F454D747e037Da288dB568D4121117EAb34e79,WMATIC,0xA964b92C690f0B8efad5B46a278A84bD0EF8AC01,"{""usd"":866434.9575369622,""base"":556886,""quote"":433217}",MATIC
klaytn,defikingdoms,oWBTC,0x7828926761e7a6E1f9532914A282bf6631EA3C81,"{""usd"":861416,""base"":25.6,""quote"":2206967}",BTC
ethereum,uniswap,UNI,0xd3d2E2692501A5c9Ca623199D38826e513033a17,"{""usd"":9137218,""base"":859501,""quote"":3658}",UNI
bsc,0xC2D8d27F3196D9989aBf366230a47384010440c0,ETH,0x4eB3A271A42Bfa2d47fFD5947f503067ed6093cF,"{""usd"":116056.42901118346,""base"":45.64,""quote"":47.26}",ETH
bsc,0x2c34577F8c582Ec919DCe9f5E94Cf1e83A814A1a,WBNB,0x59344dCB5c1478865fc9CC16F7195C0FD876DcDC,"{""usd"":102895.89140828473,""base"":197.15,""quote"":51448}",BNB
bsc,pancakeswap,DREP,0x6897f79c32bcDa6FFde84e5b0C96665224C14Dc4,"{""usd"":103757.01645329065,""base"":166688,""quote"":51879}",DREP
bsc,pancakeswap,LINK,0x824eb9faDFb377394430d2744fa7C42916DE3eCe,"{""usd"":8137085.94433468,""base"":725585,""quote"":15883}",LINK
ethereum,uniswap,LINK,0xa6Cc3C2531FdaA6Ae1A3CA84c2855806728693e8,"{""usd"":18560729,""base"":2360675,""quote"":4256}",LINK
arbitrum,sushiswap,SUSHI,0x3221022e37029923aCe4235D812273C5A42C322d,"{""usd"":234544.161391368,""base"":119786,""quote"":93.86}",SUSHI
bsc,sushiswap,WBNB,0x2905817b020fD35D9d09672946362b62766f0d69,"{""usd"":52828.72476871162,""base"":103.07,""quote"":26414}",BNB
bsc,nomiswap,DOGE,0xDCbc1D9D48016b8d5F3B0F9045Eb3B72F38E6B93,"{""usd"":730778.1340671115,""base"":5147909,""quote"":365389}",DOGE
fantom,morpheusswap,WFTM,0xD095675C684452825e61804dA7d6CEccB613AFe8,"{""usd"":62471.63249,""base"":144209,""quote"":31236}",FTM
fantom,spookyswap,CRV,0xB471Ac6eF617e952b84C6a9fF5de65A9da96C93B,"{""usd"":596381.9009342251,""base"":560064,""quote"":1373636}",CRV
avalanche,traderjoe,WETH.e,0x5851E2d6396bcc26FB9eEE21effbF99e0d2B2148,"{""usd"":217559,""base"":112.2,""quote"":77669}",ETH
avalanche,pangolin,WETH.e,0x7c05d54fc5CB6e4Ad87c6f5db3b807C94bB89c52,"{""usd"":1490161,""base"":597,""quote"":64566}",ETH
fantom,sushiswap,ETH,0x3d0BD54c48C2C433ea6fed609Cc3d5Fb7A77622B,"{""usd"":225747.11767606455,""base"":90.4,""quote"":521148}",ETH
ethereum,shibaswap,WETH,0x703b120F15Ab77B986a24c6f9262364d02f9432f,"{""usd"":490892,""base"":196.4,""quote"":245446}",ETH
avalanche,pangolin,WAVAX,0xe28984e1EE8D431346D32BeC9Ec800Efb643eef4,"{""usd"":1727811,""base"":74895,""quote"":863906}",AVAX
cronos,mmfinance,WETH,0x019d9479606FBDd4aCB16488e0aAE49E4684322b,"{""usd"":326073,""base"":130.7,""quote"":2778754}",ETH
cronos,vvsfinance,WETH,0xfd0Cd0C651569D1e2e3c768AC0FFDAB3C8F4844f,"{""usd"":60582,""base"":24.2,""quote"":30291}",ETH
metis,hermesprotocol,WETH,0xEfFEC28996aAff6D55B6D108a46446d45C3a2E71,"{""usd"":527795,""base"":212,""quote"":263898}",ETH
ethereum,uniswap,PAXG,0x9C4Fe5FFD9A9fC5678cFBd93Aa2D4FD684b67C4C,"{""usd"":7223349,""base"":1959,""quote"":2891}",PAXG
bsc,biswap,FTM,0x7bfCd2bda87fd2312A946BD9b68f5Acc6E21595a,"{""usd"":390631.7218667436,""base"":901575,""quote"":762.86}",FTM
polygon,balancer,WETH,0x0297e37f1873d2dab4487aa67cd56b58e2f27875000100000000000000000002-0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270-0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,"{""usd"":1242752,""base"":497.9,""quote"":800515}",ETH
godwoken,yokaiswap,ETH,0xBCBc8F5261397A34C83264F81E3df790bEBD8eeB,"{""usd"":140899,""base"":57.5,""quote"":27712004}",ETH
wanchain,wanswap,wanXRP,0x2A272a37C999A36Dc10100f8A4B7C3937C174A0D,"{""usd"":453082,""base"":675063,""quote"":1374354}",XRP
ethereum,uniswap,SOL,0x127452F3f9cDc0389b0Bf59ce6131aA3Bd763598,"{""usd"":457351,""base"":29529,""quote"":58.8}",SOL
bsc,babydogeswap,WBNB,0x2C3d4c9966A466ed6BC434aFba8EA3C96EE35c86,"{""usd"":2776607.5378611693,""base"":5416.65,""quote"":1388304}",BNB
fantom,tombswap,WFTM,0x8C853ce1561A2c2cD2E857670e3cCd04BA4cB27b,"{""usd"":1260192.386848,""base"":2910014,""quote"":630096}",FTM
fantom,spookyswap,SUSHI,0xf84E313B36E86315af7a06ff26C8b20e9EB443C3,"{""usd"":339291.9022083479,""base"":173185,""quote"":781398}",SUSHI
polygon,0xc2544A32872A91F4A553b404C6950e89De901fdb,IQ,0x1B238BDB3ae538Fc8201aA1475bFFc216e3B374f,"{""usd"":227084.9701908327,""base"":26154937,""quote"":113542}",IQ
polygon,dfyn,WBTC,0xC0ab47B79bC66F98e5C9eE5FF386a7150D3F4174,"{""usd"":64216.271202,""base"":1.91,""quote"":32108}",BTC
polygon,balancer,WBTC,0x03cd191f589d12b0582a99808cf19851e468e6b500010000000000000000000a-0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6-0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,"{""usd"":769290,""base"":22.88,""quote"":384538}",BTC
